file	Number of variables	Number of clauses	Parse time (s)	Simplification time (s)	restarts	conflicts	decisions	propagations	conflict literals	Memory used (MB)	CPU time (s)	Satisfiability
flat100-77-out.txt	           300                                         |	            1117                                         |	                   0.01	          0.00	1	22	41	828	131	11.00	0.014447	SATISFIABLE
flat100-78-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	4	25	315	35	11.00	0.009273	SATISFIABLE
flat100-79-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	48	72	2285	482	11.00	0	SATISFIABLE
flat100-8-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	21	42	968	174	11.00	0.01128	SATISFIABLE
flat100-80-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	13	32	703	130	11.00	0.015845	SATISFIABLE
flat100-81-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	30	61	1282	206	11.00	0.014859	SATISFIABLE
flat100-82-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	46	60	2396	355	11.00	0	SATISFIABLE
flat100-83-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	41	71	2185	389	11.00	0.014191	SATISFIABLE
flat100-84-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.01	1	50	77	2195	589	11.00	0.009812	SATISFIABLE
flat100-85-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	43	73	2343	280	11.00	0.010071	SATISFIABLE
flat100-86-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	12	36	658	116	11.00	0.008747	SATISFIABLE
flat100-87-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	13	32	761	91	11.00	0.004546	SATISFIABLE
flat100-88-out.txt	           300                                         |	            1117                                         |	                   0.01	          0.00	1	25	48	1286	222	11.00	0.018596	SATISFIABLE
flat100-89-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	46	61	2084	355	11.00	0	SATISFIABLE
flat100-9-out.txt	           300                                         |	            1117                                         |	                   0.01	          0.00	1	11	34	633	105	11.00	0.017248	SATISFIABLE
flat100-90-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	10	33	606	116	11.00	0.003891	SATISFIABLE
flat100-91-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	30	45	1141	252	11.00	0.013583	SATISFIABLE
flat100-92-out.txt	           300                                         |	            1117                                         |	                   0.01	          0.00	1	50	77	2290	423	11.00	0.014602	SATISFIABLE
flat100-93-out.txt	           300                                         |	            1117                                         |	                   0.01	          0.01	1	53	85	2484	438	11.00	0.017802	SATISFIABLE
flat100-94-out.txt	           300                                         |	            1117                                         |	                   0.01	          0.00	1	2	18	257	16	11.00	0.015856	SATISFIABLE
flat100-95-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	57	76	2621	482	11.00	0.01051	SATISFIABLE
flat100-96-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	82	110	3570	645	11.00	0.006786	SATISFIABLE
flat100-97-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	69	90	3125	632	11.00	0.01337	SATISFIABLE
flat100-98-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	69	92	2824	433	11.00	0.01268	SATISFIABLE
flat100-99-out.txt	           300                                         |	            1117                                         |	                   0.00	          0.00	1	32	57	1534	252	11.00	0.005787	SATISFIABLE
