file	Number of variables	Number of clauses	Parse time (s)	Simplification time (s)	restarts	conflicts	decisions	propagations	conflict literals	Memory used (MB)	CPU time (s)	Satisfiability
uf50-01000-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	71	87	1206	302	11.00	0.005	SATISFIABLE
uf50-0901-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	9	23	202	49	11.00	0.006236	SATISFIABLE
uf50-0902-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	20	29	397	62	11.00	0	SATISFIABLE
uf50-0903-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	57	72	882	229	11.00	0.005315	SATISFIABLE
uf50-0904-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	14	29	238	70	11.00	0.005019	SATISFIABLE
uf50-0905-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	47	57	654	145	11.00	0.006121	SATISFIABLE
uf50-0906-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	68	94	975	307	11.00	0.005839	SATISFIABLE
uf50-0907-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	24	39	378	100	11.00	0.002867	SATISFIABLE
uf50-0908-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	5	15	113	26	11.00	0.005154	SATISFIABLE
uf50-0909-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	15	29	276	60	11.00	0.004774	SATISFIABLE
uf50-0910-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	58	74	955	262	11.00	0.007427	SATISFIABLE
uf50-0911-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	16	27	236	91	11.00	0.007165	SATISFIABLE
uf50-0912-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	38	59	523	174	11.00	0.006388	SATISFIABLE
uf50-0913-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	32	46	482	138	11.00	0.005868	SATISFIABLE
uf50-0914-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	3	25	112	12	11.00	0	SATISFIABLE
uf50-0915-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	5	15	143	14	11.00	0.004817	SATISFIABLE
uf50-0916-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	5	23	114	33	11.00	0.004166	SATISFIABLE
uf50-0917-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	70	89	945	284	11.00	0.005015	SATISFIABLE
uf50-0918-out.txt	            50                                         |	             218                                         |	                   0.00	          0.00	1	43	63	607	180	11.00	0.004736	SATISFIABLE
