sec to solve	episode #	score
0.21809697151184082	1	3.772727272727273
0.12392616271972656	2	1.2352941176470589
0.08420443534851074	3	2.3636363636363638
0.1396315097808838	4	3.6842105263157894
0.23732376098632812	5	0.7027027027027027
0.13710427284240723	6	3.111111111111111
0.129533052444458	7	4.6
0.09390115737915039	8	2.466666666666667
0.13254880905151367	9	0.7
0.21451282501220703	10	0.8666666666666667
0.03683733940124512	11	18.25
0.17483878135681152	12	1.0
0.047334909439086914	13	7.857142857142857
0.056165218353271484	14	5.5
0.0780332088470459	15	1.7692307692307692
0.09283018112182617	16	0.8666666666666667
0.126906156539917	17	1.2941176470588236
0.10402774810791016	18	5.117647058823529
0.08177042007446289	19	4.066666666666666
0.05046820640563965	20	10.0
0.1755352020263672	21	1.9130434782608696
0.0722203254699707	22	1.4166666666666667
0.07073092460632324	23	2.1818181818181817
0.06445145606994629	24	5.888888888888889
0.19018983840942383	25	0.48148148148148145
0.059546470642089844	26	2.875
0.11345386505126953	27	3.3529411764705883
0.21051406860351562	28	0.8
0.18145227432250977	29	2.24
0.08371710777282715	30	2.5
0.04875302314758301	31	2.625
0.12356424331665039	32	5.8
0.13503098487854004	33	2.1
0.05048942565917969	34	1.2857142857142858
0.09598827362060547	35	2.75
0.08029317855834961	36	4.444444444444445
0.0752558708190918	37	1.6
0.1387922763824463	38	1.125
0.22458553314208984	39	0.9583333333333334
0.05494356155395508	40	1.5
0.06211233139038086	41	8.142857142857142
0.2864718437194824	42	0.375
0.15311098098754883	43	3.0588235294117645
0.22338271141052246	44	2.0416666666666665
0.09907221794128418	45	6.7
0.06595134735107422	46	5.0
0.26729345321655273	47	3.96
0.11989116668701172	48	1.9230769230769231
0.11163067817687988	49	3.3636363636363638
0.07102751731872559	50	3.111111111111111
0.18503165245056152	51	2.25
0.1821138858795166	52	2.2
0.05862855911254883	53	4.5
0.07056808471679688	54	5.777777777777778
0.19633769989013672	55	1.5714285714285714
0.05238795280456543	56	4.5
0.09438014030456543	57	1.0833333333333333
0.23977875709533691	58	1.8461538461538463
0.08203458786010742	59	2.3
0.19481587409973145	60	0.9565217391304348
0.17575788497924805	61	2.9
0.2695634365081787	62	0.5172413793103449
0.17582154273986816	63	2.9473684210526314
0.11858034133911133	64	3.6923076923076925
0.10035872459411621	65	2.4545454545454546
0.11853265762329102	66	1.1538461538461537
0.09841036796569824	67	1.4
0.17844820022583008	68	2.125
0.13107061386108398	69	4.846153846153846
0.12145042419433594	70	2.2857142857142856
0.1814253330230713	71	0.7647058823529411
0.16751670837402344	72	4.071428571428571
0.09780287742614746	73	5.777777777777778
0.2287600040435791	74	1.1304347826086956
0.23894190788269043	75	2.625
0.1775362491607666	76	1.1666666666666667
0.09997391700744629	77	6.714285714285714
0.16283392906188965	78	2.0588235294117645
0.2211000919342041	79	0.8235294117647058
0.04922342300415039	80	3.25
0.1571483612060547	81	3.0
0.08079361915588379	82	10.625
0.3520543575286865	83	1.3125
0.07433080673217773	84	3.25
0.04441404342651367	85	6.333333333333333
0.1380615234375	86	3.533333333333333
0.11272644996643066	87	6.625
0.14780855178833008	88	3.5
0.05433821678161621	89	20.833333333333332
0.14088225364685059	90	1.8
0.1783435344696045	91	1.25
0.12392687797546387	92	1.4285714285714286
0.18849849700927734	93	0.8666666666666667
0.12142586708068848	94	3.2857142857142856
0.09738612174987793	95	3.6923076923076925
0.07690811157226562	96	1.6363636363636365
0.24833059310913086	97	2.5925925925925926
0.37165379524230957	98	1.088235294117647
0.2008655071258545	99	2.2222222222222223
0.20827746391296387	100	1.7647058823529411

Minisat iters:	3960 
Gqsat iters:	1566 
Minisat iters/gqsat iters:	2.53
total_eval_time	13.665554285049438
Results for	./data/uf50-218/test
median_relative_score:	2.409090909090909
mean_relative_score:	3.2506891530486195
min_score:	0.375
max_score:	20.833333333333332
