file	Number of variables	Number of clauses	Parse time (s)	Simplification time (s)	restarts	conflicts	decisions	propagations	conflict literals	Memory used (MB)	CPU time (s)	Satisfiability
uf20-01000-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	2	7	28	6	11.00	0.005791	SATISFIABLE
uf20-0901-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	8	15	71	20	11.00	0.005275	SATISFIABLE
uf20-0902-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	2	10	32	7	11.00	0.002404	SATISFIABLE
uf20-0903-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	5	12	44	12	11.00	0.002955	SATISFIABLE
uf20-0904-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	5	10	64	12	11.00	0.00286	SATISFIABLE
uf20-0905-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	6	16	65	18	11.00	0.002307	SATISFIABLE
uf20-0906-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	5	10	48	17	11.00	0.002273	SATISFIABLE
uf20-0907-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	4	11	44	10	11.00	0.004582	SATISFIABLE
uf20-0908-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	4	9	47	16	11.00	0.003611	SATISFIABLE
uf20-0909-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	13	21	116	47	11.00	0.003471	SATISFIABLE
uf20-0910-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	0	7	20	0	11.00	0.003754	SATISFIABLE
uf20-0911-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	1	7	21	3	11.00	0.0041	SATISFIABLE
uf20-0912-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	5	11	50	10	11.00	0.003995	SATISFIABLE
uf20-0913-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	8	11	95	19	11.00	0.003458	SATISFIABLE
uf20-0914-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	7	10	63	14	11.00	0.003794	SATISFIABLE
uf20-0915-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	0	6	20	0	11.00	0.003804	SATISFIABLE
uf20-0916-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	8	14	80	22	11.00	0.003434	SATISFIABLE
uf20-0917-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	7	14	59	12	11.00	0.003718	SATISFIABLE
uf20-0918-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	4	9	46	9	11.00	0.003503	SATISFIABLE
uf20-0919-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	4	9	35	13	11.00	0.00358	SATISFIABLE
uf20-0920-out.txt	            20                                         |	              91                                         |	                   0.00	          0.00	1	3	8	32	11	11.00	0.005335	SATISFIABLE
