sec to solve	episode #	score
0.33305931091308594	1	2.6666666666666665
0.09891819953918457	2	2.1666666666666665
0.08704900741577148	3	1.5
0.0711526870727539	4	2.0
0.06801581382751465	5	1.6
0.10624051094055176	6	1.6
0.11593103408813477	7	1.8571428571428572
0.10868382453918457	8	2.3333333333333335
0.08826851844787598	9	1.6
0.12271833419799805	10	1.6666666666666667
0.19781923294067383	11	1.75
0.11535787582397461	12	0.8333333333333334
0.1107931137084961	13	2.2
0.10771322250366211	14	1.5714285714285714
0.12198567390441895	15	1.125
0.07602500915527344	16	1.8
0.06467962265014648	17	2.25
0.09128284454345703	18	1.8333333333333333
0.18735313415527344	19	0.9
0.17277312278747559	20	2.142857142857143
0.10734009742736816	21	2.25
0.14977097511291504	22	1.75
0.13483023643493652	23	2.0
0.08230876922607422	24	3.0
0.09166669845581055	25	2.0
0.08254146575927734	26	2.75
0.1231379508972168	27	1.4285714285714286
0.09062862396240234	28	4.75
0.08977174758911133	29	2.25
0.06250333786010742	30	1.5
0.11708188056945801	31	1.625
0.10796999931335449	32	1.125
0.1363224983215332	33	1.625
0.22913646697998047	34	1.6666666666666667
0.19952154159545898	35	1.8333333333333333
0.25764012336730957	36	1.2857142857142858
0.1604764461517334	37	1.3
0.13115477561950684	38	1.2857142857142858
0.0741736888885498	39	2.6666666666666665
0.15312480926513672	40	0.625
0.09045529365539551	41	1.8333333333333333
0.07960247993469238	42	1.1666666666666667
0.08016467094421387	43	1.8571428571428572
0.06349468231201172	44	1.6
0.0759575366973877	45	1.75
0.19990921020507812	46	1.875
0.1372840404510498	47	2.8333333333333335
0.10698390007019043	48	2.25
0.06866192817687988	49	2.0
0.1465446949005127	50	1.8333333333333333
0.1421966552734375	51	1.6666666666666667
0.10567021369934082	52	2.4
0.1689441204071045	53	0.8571428571428571
0.225752592086792	54	2.0
0.2981541156768799	55	1.3
0.09595108032226562	56	1.8333333333333333
0.09411025047302246	57	2.6
0.19660663604736328	58	0.8888888888888888
0.1885669231414795	59	2.2857142857142856
0.16106677055358887	60	2.4
0.11035013198852539	61	1.6
0.29677343368530273	62	1.8333333333333333
0.31865453720092773	63	2.0
0.23878693580627441	64	1.4285714285714286
0.21962642669677734	65	1.3333333333333333
0.11933374404907227	66	2.4
0.1895279884338379	67	3.0
0.1028895378112793	68	1.6
0.1563124656677246	69	1.75
0.11904454231262207	70	2.6
0.052434682846069336	71	2.6666666666666665
0.1441049575805664	72	0.7272727272727273
0.07798504829406738	73	2.2
0.12639355659484863	74	2.2
0.14977598190307617	75	1.8333333333333333
0.06647706031799316	76	2.3333333333333335
0.1161808967590332	77	1.3333333333333333
0.10215044021606445	78	1.4
0.12142300605773926	79	2.2857142857142856
0.11997175216674805	80	1.25
0.1142420768737793	81	1.8333333333333333
0.20582127571105957	82	0.6
0.18831896781921387	83	1.2727272727272727
0.07274603843688965	84	1.5
0.1233065128326416	85	1.0
0.07236528396606445	86	2.5
0.08460378646850586	87	2.6
0.5316166877746582	88	1.0
0.21355581283569336	89	3.5
0.22428250312805176	90	2.3333333333333335
0.1938316822052002	91	2.8333333333333335
0.09749674797058105	92	1.5
0.09246420860290527	93	2.2
0.08535218238830566	94	1.75
0.09161543846130371	95	2.2
0.12328124046325684	96	3.2
0.06932497024536133	97	1.5
0.11108851432800293	98	1.0
0.09674525260925293	99	1.4285714285714286
0.13450241088867188	100	1.3333333333333333

Minisat iters:	1071 
Gqsat iters:	614 
Minisat iters/gqsat iters:	1.74
total_eval_time	13.646360635757446
Results for	./data/flat30-60/test
median_relative_score:	1.8333333333333333
mean_relative_score:	1.862031746031746
min_score:	0.6
max_score:	4.75
